date,value,rating
2022-06-13,17,Extreme Fear
2022-06-14,20,Extreme Fear
2022-06-15,13,Extreme Fear
2022-06-16,14,Extreme Fear
2022-06-17,14,Extreme Fear
2022-06-19,14,Extreme Fear
2022-06-20,19,Extreme Fear
2022-06-21,21,Extreme Fear
2022-06-22,22,Extreme Fear
2022-06-23,27,Fear
2022-06-24,27,Fear
2022-06-26,28,Fear
2022-06-27,26,Fear
2022-06-28,25,Fear
2022-06-29,22,Extreme Fear
2022-06-30,24,Extreme Fear
2022-07-01,24,Extreme Fear
2022-07-03,24,Extreme Fear
2022-07-04,23,Extreme Fear
2022-07-05,24,Extreme Fear
2022-07-06,24,Extreme Fear
2022-07-07,27,Fear
2022-07-08,31,Fear
2022-07-11,30,Fear
2022-07-12,30,Fear
2022-07-13,27,Fear
2022-07-14,26,Fear
2022-07-15,33,Fear
2022-07-18,35,Fear
2022-07-19,39,Fear
2022-07-20,44,Fear
2022-07-21,48,Neutral
2022-07-22,42,Fear
2022-07-25,42,Fear
2022-07-26,42,Fear
2022-07-27,46,Neutral
2022-07-28,48,Neutral
2022-07-29,52,Neutral
2022-08-01,59,Greed
2022-08-02,57,Greed
2022-08-03,60,Greed
2022-08-04,61,Greed
2022-08-05,63,Greed
2022-08-08,64,Greed
2022-08-09,64,Greed
2022-08-10,65,Greed
2022-08-11,65,Greed
2022-08-12,68,Greed
2022-08-15,66,Greed
2022-08-16,67,Greed
2022-08-17,67,Greed
2022-08-18,66,Greed
2022-08-19,63,Greed
2022-08-22,60,Greed
2022-08-23,57,Greed
2022-08-24,57,Greed
2022-08-25,58,Greed
2022-08-26,55,Greed
2022-08-29,54,Neutral
2022-08-30,49,Neutral
2022-08-31,52,Neutral
2022-09-01,49,Neutral
2022-09-02,42,Fear
2022-09-06,40,Fear
2022-09-07,39,Fear
2022-09-08,40,Fear
2022-09-09,43,Fear
2022-09-12,47,Neutral
2022-09-13,36,Fear
2022-09-14,41,Fear
2022-09-15,40,Fear
2022-09-16,35,Fear
2022-09-19,36,Fear
2022-09-20,36,Fear
2022-09-21,27,Fear
2022-09-22,24,Extreme Fear
2022-09-23,21,Extreme Fear
2022-09-26,17,Extreme Fear
2022-09-27,16,Extreme Fear
2022-09-28,17,Extreme Fear
2022-09-29,13,Extreme Fear
2022-09-30,16,Extreme Fear
2022-10-03,20,Extreme Fear
2022-10-04,27,Fear
2022-10-05,29,Fear
2022-10-06,23,Extreme Fear
2022-10-07,19,Extreme Fear
2022-10-10,19,Extreme Fear
2022-10-11,16,Extreme Fear
2022-10-12,15,Extreme Fear
2022-10-13,19,Extreme Fear
2022-10-14,16,Extreme Fear
2022-10-17,23,Extreme Fear
2022-10-18,28,Fear
2022-10-19,29,Fear
2022-10-20,39,Fear
2022-10-21,43,Fear
2022-10-24,47,Neutral
2022-10-25,51,Neutral
2022-10-26,53,Neutral
2022-10-27,54,Neutral
2022-10-28,57,Greed
2022-10-31,64,Greed
2022-11-01,63,Greed
2022-11-02,55,Greed
2022-11-03,55,Greed
2022-11-04,56,Greed
2022-11-07,59,Greed
2022-11-08,57,Greed
2022-11-09,54,Neutral
2022-11-10,60,Greed
2022-11-11,63,Greed
2022-11-14,62,Greed
2022-11-15,66,Greed
2022-11-16,65,Greed
2022-11-17,61,Greed
2022-11-18,60,Greed
2022-11-21,60,Greed
2022-11-22,60,Greed
2022-11-23,64,Greed
2022-11-25,63,Greed
2022-11-28,59,Greed
2022-11-29,58,Greed
2022-11-30,73,Greed
2022-12-01,75,Extreme Greed
2022-12-02,68,Greed
2022-12-05,65,Greed
2022-12-06,61,Greed
2022-12-07,58,Greed
2022-12-08,55,Greed
2022-12-09,52,Neutral
2022-12-12,57,Greed
2022-12-13,59,Greed
2022-12-14,60,Greed
2022-12-15,60,Greed
2022-12-16,44,Fear
2022-12-19,39,Fear
2022-12-20,38,Fear
2022-12-21,38,Fear
2022-12-22,37,Fear
2022-12-23,39,Fear
2022-12-27,39,Fear
2022-12-28,35,Fear
2022-12-29,37,Fear
2022-12-30,36,Fear
2023-01-03,36,Fear
2023-01-04,39,Fear
2023-01-05,44,Fear
2023-01-06,45,Neutral
2023-01-09,47,Neutral
2023-01-10,49,Neutral
2023-01-11,54,Neutral
2023-01-12,56,Greed
2023-01-13,61,Greed
2023-01-17,64,Greed
2023-01-18,58,Greed
2023-01-19,55,Greed
2023-01-20,58,Greed
2023-01-23,63,Greed
2023-01-24,63,Greed
2023-01-25,63,Greed
2023-01-26,68,Greed
2023-01-27,69,Greed
2023-01-30,67,Greed
2023-01-31,70,Greed
2023-02-01,82,Extreme Greed
2023-02-02,75,Extreme Greed
2023-02-03,76,Extreme Greed
2023-02-06,75,Extreme Greed
2023-02-07,76,Extreme Greed
2023-02-08,74,Greed
2023-02-09,72,Greed
2023-02-10,72,Greed
2023-02-13,71,Greed
2023-02-14,73,Greed
2023-02-15,73,Greed
2023-02-16,70,Greed
2023-02-17,69,Greed
2023-02-21,65,Greed
2023-02-22,64,Greed
2023-02-23,62,Greed
2023-02-24,60,Greed
2023-02-27,61,Greed
2023-02-28,61,Greed
2023-03-01,65,Greed
2023-03-02,52,Neutral
2023-03-03,55,Greed
2023-03-06,55,Greed
2023-03-07,48,Neutral
2023-03-08,49,Neutral
2023-03-09,37,Fear
2023-03-10,26,Fear
2023-03-13,23,Extreme Fear
2023-03-14,25,Fear
2023-03-15,22,Extreme Fear
2023-03-16,32,Fear
2023-03-17,27,Fear
2023-03-20,30,Fear
2023-03-21,43,Fear
2023-03-22,41,Fear
2023-03-23,38,Fear
2023-03-24,37,Fear
2023-03-27,40,Fear
2023-03-28,39,Fear
2023-03-29,41,Fear
2023-03-30,45,Neutral
2023-03-31,49,Neutral
2023-04-03,61,Greed
2023-04-04,50,Neutral
2023-04-05,52,Neutral
2023-04-06,55,Greed
2023-04-10,57,Greed
2023-04-11,58,Greed
2023-04-12,60,Greed
2023-04-13,63,Greed
2023-04-14,65,Greed
2023-04-17,67,Greed
2023-04-18,65,Greed
2023-04-19,67,Greed
2023-04-20,64,Greed
2023-04-21,63,Greed
2023-04-24,63,Greed
2023-04-25,57,Greed
2023-04-26,52,Neutral
2023-04-27,58,Greed
2023-04-28,59,Greed
2023-05-01,59,Greed
2023-05-02,55,Greed
2023-05-03,54,Neutral
2023-05-04,49,Neutral
2023-05-05,53,Neutral
2023-05-08,57,Greed
2023-05-09,59,Greed
2023-05-10,59,Greed
2023-05-11,59,Greed
2023-05-12,57,Greed
2023-05-15,57,Greed
2023-05-16,55,Greed
2023-05-17,60,Greed
2023-05-18,64,Greed
2023-05-19,65,Greed
2023-05-22,67,Greed
2023-05-23,65,Greed
2023-05-24,61,Greed
2023-05-25,62,Greed
2023-05-26,65,Greed
2023-05-30,66,Greed
2023-05-31,64,Greed
2023-06-01,68,Greed
2023-06-02,75,Extreme Greed
2023-06-05,69,Greed
2023-06-06,73,Greed
2023-06-07,74,Greed
2023-06-08,75,Extreme Greed
2023-06-09,76,Extreme Greed
2023-06-12,78,Extreme Greed
2023-06-13,79,Extreme Greed
2023-06-14,79,Extreme Greed
2023-06-15,80,Extreme Greed
2023-06-16,81,Extreme Greed
2023-06-20,80,Extreme Greed
2023-06-21,80,Extreme Greed
2023-06-22,80,Extreme Greed
2023-06-23,75,Extreme Greed
2023-06-26,73,Greed
2023-06-27,75,Extreme Greed
2023-06-28,76,Extreme Greed
2023-06-29,79,Extreme Greed
2023-06-30,79,Extreme Greed
2023-07-03,82,Extreme Greed
2023-07-05,79,Extreme Greed
2023-07-06,77,Extreme Greed
2023-07-07,77,Extreme Greed
2023-07-10,76,Extreme Greed
2023-07-11,78,Extreme Greed
2023-07-12,78,Extreme Greed
2023-07-13,79,Extreme Greed
2023-07-14,79,Extreme Greed
2023-07-17,80,Extreme Greed
2023-07-18,81,Extreme Greed
2023-07-19,82,Extreme Greed
2023-07-20,80,Extreme Greed
2023-07-21,81,Extreme Greed
2023-07-24,82,Extreme Greed
2023-07-25,81,Extreme Greed
2023-07-26,80,Extreme Greed
2023-07-27,77,Extreme Greed
2023-07-28,76,Extreme Greed
2023-07-31,77,Extreme Greed
2023-08-01,77,Extreme Greed
2023-08-02,77,Extreme Greed
2023-08-03,73,Greed
2023-08-04,64,Greed
2023-08-07,72,Greed
2023-08-08,69,Greed
2023-08-09,67,Greed
2023-08-10,66,Greed
2023-08-11,65,Greed
2023-08-14,66,Greed
2023-08-15,54,Neutral
2023-08-16,49,Neutral
2023-08-17,46,Neutral
2023-08-18,43,Fear
2023-08-21,43,Fear
2023-08-22,43,Fear
2023-08-23,50,Neutral
2023-08-24,40,Fear
2023-08-25,47,Neutral
2023-08-28,45,Neutral
2023-08-29,49,Neutral
2023-08-30,50,Neutral
2023-08-31,52,Neutral
2023-09-01,55,Greed
2023-09-05,59,Greed
2023-09-06,56,Greed
2023-09-07,53,Neutral
2023-09-08,51,Neutral
2023-09-11,52,Neutral
2023-09-12,51,Neutral
2023-09-13,51,Neutral
2023-09-14,54,Neutral
2023-09-15,52,Neutral
2023-09-18,49,Neutral
2023-09-19,49,Neutral
2023-09-20,48,Neutral
2023-09-21,37,Fear
2023-09-22,33,Fear
2023-09-25,38,Fear
2023-09-26,24,Extreme Fear
2023-09-27,22,Extreme Fear
2023-09-28,29,Fear
2023-09-29,28,Fear
2023-10-02,28,Fear
2023-10-03,20,Extreme Fear
2023-10-04,20,Extreme Fear
2023-10-05,20,Extreme Fear
2023-10-06,27,Fear
2023-10-09,29,Fear
2023-10-10,32,Fear
2023-10-11,34,Fear
2023-10-12,35,Fear
2023-10-13,26,Fear
2023-10-16,35,Fear
2023-10-17,39,Fear
2023-10-18,30,Fear
2023-10-19,29,Fear
2023-10-20,22,Extreme Fear
2023-10-23,25,Fear
2023-10-24,33,Fear
2023-10-25,25,Fear
2023-10-26,22,Extreme Fear
2023-10-27,21,Extreme Fear
2023-10-30,29,Fear
2023-10-31,30,Fear
2023-11-01,32,Fear
2023-11-02,37,Fear
2023-11-03,36,Fear
2023-11-06,38,Fear
2023-11-07,39,Fear
2023-11-08,39,Fear
2023-11-09,41,Fear
2023-11-10,41,Fear
2023-11-13,39,Fear
2023-11-14,46,Neutral
2023-11-15,52,Neutral
2023-11-16,55,Greed
2023-11-17,58,Greed
2023-11-20,61,Greed
2023-11-21,61,Greed
2023-11-22,65,Greed
2023-11-24,66,Greed
2023-11-27,65,Greed
2023-11-28,65,Greed
2023-11-29,63,Greed
2023-11-30,64,Greed
2023-12-01,64,Greed
2023-12-04,63,Greed
2023-12-05,65,Greed
2023-12-06,63,Greed
2023-12-07,66,Greed
2023-12-08,65,Greed
2023-12-11,67,Greed
2023-12-12,67,Greed
2023-12-13,67,Greed
2023-12-14,70,Greed
2023-12-15,69,Greed
2023-12-18,70,Greed
2023-12-19,82,Extreme Greed
2023-12-20,75,Extreme Greed
2023-12-21,77,Extreme Greed
2023-12-22,79,Extreme Greed
2023-12-26,81,Extreme Greed
2023-12-27,81,Extreme Greed
2023-12-28,81,Extreme Greed
2023-12-29,80,Extreme Greed
2024-01-02,79,Extreme Greed
2024-01-03,76,Extreme Greed
2024-01-04,78,Extreme Greed
2024-01-05,75,Extreme Greed
2024-01-08,76,Extreme Greed
2024-01-09,75,Extreme Greed
2024-01-10,76,Extreme Greed
2024-01-11,74,Greed
2024-01-12,73,Greed
2024-01-16,72,Greed
2024-01-17,57,Greed
2024-01-18,66,Greed
2024-01-19,72,Greed
2024-01-22,72,Greed
2024-01-23,70,Greed
2024-01-24,72,Greed
2024-01-25,73,Greed
2024-01-26,73,Greed
2024-01-29,74,Greed
2024-01-30,74,Greed
2024-01-31,64,Greed
2024-02-01,72,Greed
2024-02-02,74,Greed
2024-02-05,73,Greed
2024-02-06,73,Greed
2024-02-07,73,Greed
2024-02-08,74,Greed
2024-02-09,75,Extreme Greed
2024-02-12,75,Extreme Greed
2024-02-13,66,Greed
2024-02-14,67,Greed
2024-02-15,73,Greed
2024-02-16,73,Greed
2024-02-20,63,Greed
2024-02-21,63,Greed
2024-02-22,73,Greed
2024-02-23,73,Greed
2024-02-26,71,Greed
2024-02-27,75,Extreme Greed
2024-02-28,76,Extreme Greed
